title,score
霸王别姬 - Farewell My Concubine,9.5
这个杀手不太冷 - Léon,9.5
肖申克的救赎 - The Shawshank Redemption,9.5
泰坦尼克号 - Titanic,9.5
罗马假日 - Roman Holiday,9.5
唐伯虎点秋香 - Flirting Scholar,9.5
乱世佳人 - Gone with the Wind,9.5
喜剧之王 - The King of Comedy,9.5
楚门的世界 - The Truman Show,9.0
狮子王 - The Lion King,9.0
V字仇杀队 - V for Vendetta,8.9
少年派的奇幻漂流 - Life of Pi,8.9
美丽心灵 - A Beautiful Mind,8.8
初恋这件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก,8.9
借东西的小人阿莉埃蒂 - 借りぐらしのアリエッティ,8.8
一一 - Yi yi: A One and a Two,8.8
美丽人生 - La vita è bella,9.1
海上钢琴师 - La leggenda del pianista sull'oceano,9.1
千与千寻 - 千と千尋の神隠し,9.1
迁徙的鸟 - The Travelling Birds,9.1
"黄金三镖客 - Il buono, il brutto, il cattivo.",9.1
海洋 - Océans,9.1
我爱你 - 그대를 사랑합니다,9.1
阿飞正传 - Days of Being Wild,9.1
7号房的礼物 - 7번방의 선물,8.8
爱·回家 - 집으로...,9.1
龙猫 - となりのトトロ,9.1
七武士 - 七人の侍,8.8
美国往事 - Once Upon a Time in America,8.8
完美的世界 - A Perfect World,8.8
上帝之城 - Cidade de Deus,8.8
辩护人 - 변호인,8.8
忠犬八公物语 - ハチ公物語,8.8
海豚湾 - The Cove,8.8
英雄本色 - A Better Tomorrow,8.8
恐怖直播 - 더 테러 라이브,8.8
窃听风暴 - Das Leben der Anderen,8.8
时空恋旅人 - About Time,8.8
穿条纹睡衣的男孩 - The Boy in the Striped Pajamas,8.8
教父 - The Godfather,8.8
萤火之森 - 蛍火の杜へ,8.8
素媛 - 소원,8.8
小鞋子 - بچههای آسمان,8.8
熔炉 - 도가니,8.8
大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella,8.9
新龙门客栈 - New Dragon Gate Inn,8.9
触不可及 - Intouchables,8.9
钢琴家 - The Pianist,8.9
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,8.9
倩女幽魂 - A Chinese Ghost Story,8.9
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,8.9
甜蜜蜜 - Comrades: Almost a Love Story,8.9
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,8.9
鬼子来了 - Devils on the Doorstep,8.8
无敌破坏王 - Wreck-It Ralph,8.8
致命魔术 - The Prestige,8.8
神偷奶爸 - Despicable Me,8.8
断背山 - Brokeback Mountain,8.8
怦然心动 - Flipped,8.8
驯龙高手 - How to Train Your Dragon,8.8
飞屋环游记 - Up,8.8
黑客帝国3：矩阵革命 - The Matrix Revolutions,8.8
速度与激情5 - Fast Five,8.9
勇敢的心 - Braveheart,8.9
三傻大闹宝莱坞 - 3 Idiots,8.9
闻香识女人 - Scent of a Woman,8.9
末代皇帝 - The Last Emperor,8.9
风之谷 - 風の谷のナウシカ,8.9
大话西游之月光宝盒 - A Chinese Odyssey,8.9
放牛班的春天 - Les choristes,8.9
当幸福来敲门 - The Pursuit of Happyness,8.9
幽灵公主 - もののけ姫,8.9
十二怒汉 - 12 Angry Men,8.9
搏击俱乐部 - Fight Club,8.9
疯狂原始人 - The Croods,8.9
阿凡达 - Avatar,8.9
哈尔的移动城堡 - ハウルの動く城,8.9
盗梦空间 - Inception,8.9
忠犬八公的故事 - Hachi: A Dog's Tale,8.9
拯救大兵瑞恩 - Saving Private Ryan,8.9
活着 - To Live,9.0
机器人总动员 - WALL·E,9.0
天堂电影院 - Nuovo Cinema Paradiso,9.0
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,9.0
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,9.0
射雕英雄传之东成西就 - The Eagle Shooting Heroes,9.0
蝙蝠侠：黑暗骑士 - The Dark Knight,9.0
无间道 - Infernal Affairs,9.0
教父2 - The Godfather: Part Ⅱ,9.0
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,9.0
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,9.0
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,9.0
黑客帝国 - The Matrix,9.0
剪刀手爱德华 - Edward Scissorhands,9.0
春光乍泄 - Happy Together,9.0
大闹天宫 - The Monkey King,9.0
天空之城 - 天空の城ラピュタ,9.0
音乐之声 - The Sound of Music,9.0
辛德勒的名单 - Schindler's List,9.5
魂断蓝桥 - Waterloo Bridge,9.5
